platform,referral link,brand,price,discount,commission,Start date,End date,affilate_page_internal_link
amazon associates,https://www.amazon.com/dp/B0F14JH29W?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.32QXQQL5FFKBN&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.32QXQQL5FFKBN_1757577821211,Chateau Home Collection,75,5,15,"Sep 10, 2025 09:59 GMT+3","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2JYHEGC94JXR5&campaignId=amzn1.campaign.32QXQQL5FFKBN
amazon associates,https://www.amazon.com/dp/B0F14CRR1X?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.1VES9ZRQJS6T1&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.1VES9ZRQJS6T1_1757578037922,Chateau Home Collection,66,9,20,"Sep 10, 2025 09:59 GMT+4","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2CZGUMRSE34T0&campaignId=amzn1.campaign.1VES9ZRQJS6T1
amazon associates,https://www.amazon.com/dp/B0BRYKPH9J?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.QDY391TRR8L0&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.QDY391TRR8L0_1757579479212,CGK Unlimited,79,,10,"Sep 10, 2025 09:59 GMT+5","Nov 1, 2025 08:59 GMT+2",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.22TBFA18OH6NX&campaignId=amzn1.campaign.QDY391TRR8L0
amazon associates,https://www.amazon.com/dp/B0CBBN1MS4?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3EUZR6QQZZONT&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3EUZR6QQZZONT_1757574097252,California Design Den,91,6,10,"Sep 10, 2025 09:59 GMT+6","Oct 16, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.15QF05IQYABW3&campaignId=amzn1.campaign.3EUZR6QQZZONT
amazon associates,https://www.amazon.com/dp/B0CNY14BQR?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.1UWHRAAVXRSIL&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.1UWHRAAVXRSIL_1757574181557,California Design Den,95,,10,"Sep 10, 2025 09:59 GMT+7","Oct 16, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.NZXAX4SRPVWJ&campaignId=amzn1.campaign.1UWHRAAVXRSIL
amazon associates,https://www.amazon.com/dp/B0DB5KP631?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3EUZR6QQZZONT&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3EUZR6QQZZONT_1757574137885,California Design Den,99,10,10,"Sep 10, 2025 09:59 GMT+8","Oct 16, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.15QF05IQYABW3&campaignId=amzn1.campaign.3EUZR6QQZZONT
amazon associates,https://www.amazon.com/dp/B0DSPZKCCQ?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.2MEK69D2DA1H2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.2MEK69D2DA1H2_1757579098867,Breescape,99,,10,"Sep 10, 2025 09:59 GMT+9","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.20LF8359MPJZ4&campaignId=amzn1.campaign.2MEK69D2DA1H2
amazon associates,https://www.amazon.com/dp/B0F2SWQTLL?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.2NIQXLEDDRDQF&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.2NIQXLEDDRDQF_1757578340159,Simple&Opulence,109,,10,"Sep 10, 2025 09:59 GMT+10","Oct 2, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.25759TLXF3RAO&campaignId=amzn1.campaign.2NIQXLEDDRDQF
amazon associates,https://www.amazon.com/dp/B01M7Z2IIC?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.ZFO3EJI5Y14O&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.ZFO3EJI5Y14O_1757578149449,Chateau Home Collection,79,5,15,"Sep 10, 2025 09:59 GMT+11","Oct 2, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.XCFSNPDP3GCY&campaignId=amzn1.campaign.ZFO3EJI5Y14O
amazon associates,https://www.amazon.com/dp/B0DTBV8YW6?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577032732,Boll & Branch,119,,10,"Sep 10, 2025 09:59 GMT+12","Apr 25, 2026 09:59 GMT+15",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD14
amazon associates,https://www.amazon.com/dp/B0DTB3BSR5?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757577111028,Boll & Branch,149,,10,"Sep 10, 2025 09:59 GMT+13","Apr 25, 2026 09:59 GMT+19",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD18
amazon associates,https://www.amazon.com/dp/B0CL1HNC8Z?th=1&linkCode=ll1&tag=homeprinciple-20&linkId=78d23c72752ae1093b8610f022b22f3e&language=en_US&ref_=as_li_ss_tl,Coop,179,,10,"Sep 10, 2025 09:59 GMT+14","Jan 1, 2026 09:59 GMT+2",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2XSOOR0VJOE0E&campaignId=amzn1.campaign.204G4REGX075N
amazon associates,https://www.amazon.com/dp/B0CY7YHCHF?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3JNXHE96TJZN&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3JNXHE96TJZN_1757578070956,Chateau Home Collection,90,7,20,"Sep 10, 2025 09:59 GMT+15","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.3PWHMUO6RFPSI&campaignId=amzn1.campaign.3JNXHE96TJZN
amazon associates,https://www.amazon.com/dp/B0F35KDK4G?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576883675,Boll & Branch,197,5,10,"Sep 10, 2025 09:59 GMT+16","Apr 25, 2026 09:59 GMT+6",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD5
amazon associates,https://www.amazon.com/dp/B0DZWHMNL4?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.3N00S18KICSD2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.3N00S18KICSD2_1757576942702,Boll & Branch,199,,10,"Sep 10, 2025 09:59 GMT+17","Apr 25, 2026 09:59 GMT+9",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2OGS7RZ46P6PQ&campaignId=amzn1.campaign.3N00S18KICSD8
amazon associates,https://www.amazon.com/dp/B0CMFS482V?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.204G4REGX075N&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.204G4REGX075N_1757578495892,Coop,199,,10,"Sep 10, 2025 09:59 GMT+18","Jan 1, 2026 09:59 GMT+2",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.2XSOOR0VJOE0E&campaignId=amzn1.campaign.204G4REGX075N
amazon associates,https://www.amazon.com/dp/B0DSPZQHD6?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.2MEK69D2DA1H2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.2MEK69D2DA1H2_1757579079515,Breescape,199,,10,"Sep 10, 2025 09:59 GMT+19","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.20LF8359MPJZ4&campaignId=amzn1.campaign.2MEK69D2DA1H2
amazon associates,https://www.amazon.com/dp/B0DSPYPDBR?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.2MEK69D2DA1H2&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.2MEK69D2DA1H2_1757579114917,Breescape,199,,10,"Sep 10, 2025 09:59 GMT+20","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.20LF8359MPJZ4&campaignId=amzn1.campaign.2MEK69D2DA1H2
amazon associates,https://www.amazon.com/dp/B08M9B5T92?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.1AHHRVS3SKNI5&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.1AHHRVS3SKNI5_1757573829305,Bamboo Bay,114,36,18,"Sep 10, 2025 09:59 GMT+21","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.3EXKFMWXP2KC7&campaignId=amzn1.campaign.1AHHRVS3SKNI5
amazon associates,https://www.amazon.com/dp/B08KQ4FDYR?ref=t_ac_view_request_product_image&campaignId=amzn1.campaign.E715MN2CT9NQ&linkCode=tr1&tag=homeprinciple-20&linkId=amzn1.campaign.E715MN2CT9NQ_1757573752777,Bamboo Bay,149,29,15,"Sep 10, 2025 09:59 GMT+22","Oct 1, 2025 09:59 GMT+3",https://affiliate-program.amazon.com/p/connect/request?creatorId=amzn1.creator.9609f4f4-ea6f-43bf-b115-7b671ccdc045&adId=amzn1.campaign.1BYWCIBQ0PTP8&campaignId=amzn1.campaign.E715MN2CT9NQ
